파생키워드,총검색수,월간검색수(PC),월간검색수(모바일),경쟁정도,월평균클릭수(모바일),월평균클릭률(모바일)
해운대프로포즈,50,10,40,높음,3.5,7.61%
밀면샵인샵,40,10,30,높음,1.5,5.89%
부산코스요리추천,40,10,30,높음,0.0,0.0%
부산오뎅탕,40,10,30,높음,0.5,1.39%
명지국제신도시점심특선,40,10,30,높음,0.0,0.0%
명지단체식당,40,10,30,높음,1.3,3.97%
부산강서구가족외식,40,10,30,높음,0.0,0.0%
해운대고급맛집,40,10,30,중간,1.8,5.11%
송정해수욕장고기집,40,10,30,중간,0.0,0.0%
해운대구청밥집,40,10,30,높음,0.0,0.0%
영도상견례,40,10,30,중간,1.0,2.54%
영도코스요리,40,10,30,높음,0.6,1.97%
부산저녁식사,40,10,30,높음,0.0,0.0%
해운대재송동맛집,40,10,30,높음,0.0,0.0%
블루라인파크카페,40,10,30,높음,0.3,0.85%
향남참치집,40,10,30,낮음,0.0,0.0%
부산광안리로컬맛집,40,10,30,중간,0.3,0.81%
제주도해삼,40,10,30,높음,0.3,0.72%
동래데이트맛집,40,10,30,높음,0.0,0.0%
하남미사참치,40,10,30,중간,0.0,0.0%
동래역회식,40,10,30,높음,0.3,0.86%
부산상견례맛집,40,10,30,높음,0.9,2.59%
용호동일식,40,10,30,중간,0.0,0.0%
부산서면해물탕,30,10,20,높음,0.0,0.0%
부산가족모임장소,30,10,20,높음,0.6,2.09%
부산기장데이트코스,30,10,20,중간,0.6,2.28%
송정와인,30,10,20,중간,0.0,0.0%
부산해운대주변맛집,30,10,20,높음,0.3,1.67%
전포동요리주점,30,10,20,높음,0.3,1.32%
동래구고기맛집,30,10,20,높음,0.3,1.39%
부산계모임장소,30,10,20,높음,0.6,3.28%
송정해수욕장볼거리,30,10,20,중간,0.0,0.0%
부산접대,30,10,20,높음,0.0,0.0%
부산원테이블,30,10,20,중간,2.2,9.1%
부산원테이블레스토랑,30,10,20,낮음,0.0,0.0%
부산어버이날식당,30,10,20,중간,0.0,0.0%
구미형곡동고기,30,10,20,높음,0.3,1.3%
민락동횟집추천,30,10,20,높음,0.3,0.8%
광안리하이볼맛집,30,10,20,높음,0.0,0.0%
장산역회식,30,20,10,높음,0.0,0.0%
해리단길핫플,30,10,20,높음,0.0,0.0%
동래2층,30,10,20,중간,5.8,21.43%
당감동물회,30,10,20,중간,0.0,0.0%
광안리이벤트,30,10,20,높음,0.4,1.73%
레스토랑창업,30,10,20,높음,0.5,1.93%
프로포즈부산,30,10,20,높음,1.5,6.53%
밀면서생,20,10,10,낮음,0.0,0.0%
해운대모임장소,20,10,10,중간,0.3,2.09%
부산송년회장소,20,10,10,높음,0.0,0.0%
부산크리스마스데이트,20,10,10,낮음,0.0,0.0%
부산가볼만한맛집,20,10,10,높음,0.6,4.66%
부산역회식장소,20,10,10,중간,0.0,0.0%
부산해운대회식,20,10,10,높음,0.0,0.0%
부산시강서구맛집,20,10,10,높음,0.0,0.0%
부산단체모임장소,20,10,10,낮음,0.3,1.79%
해운대추천맛집,20,10,10,높음,0.0,0.0%
부산크리스마스,20,10,10,높음,0.0,0.0%
명지동삼계탕,20,10,10,높음,0.0,0.0%
부산워크숍장소,20,10,10,높음,0.0,0.0%
부산동창회장소,20,10,10,높음,0.0,0.0%
부산송년회,20,10,10,높음,0.0,0.0%
해운대송년회,20,10,10,낮음,0.0,0.0%
부산연말모임,20,10,10,높음,0.0,0.0%
부산아이와함께가볼만한곳,20,10,10,높음,0.0,0.0%
동래구회식,20,10,10,높음,0.3,2.78%
동래역회식장소,20,10,10,높음,0.0,0.0%
금정구회식,20,10,10,중간,0.0,0.0%
부산외식장소,20,10,10,높음,0.0,0.0%
송정해수욕장저녁,20,10,10,중간,0.4,8.34%
부산중구회식장소,20,10,10,낮음,0.0,0.0%
온천장회식장소,20,10,10,중간,0.0,0.0%
부산회식장소추천,20,10,10,높음,0.3,1.86%
부산연말,20,10,10,낮음,0.0,0.0%
부산단체횟집,20,10,10,중간,0.0,0.0%
시흥회식장소,20,10,10,높음,0.3,2.0%
서면피로연,20,10,10,높음,1.9,12.97%
마린시티회식,20,10,10,중간,0.0,0.0%
센텀가족식사,20,10,10,중간,0.0,0.0%
센텀핫플,20,10,10,중간,0.0,0.0%
해운대연말모임,20,10,10,높음,0.0,0.0%
해운대점심식사,20,10,10,높음,0.3,1.86%
해운대해수욕장점심,20,10,10,높음,0.0,0.0%
막국수샵인샵,20,10,10,중간,1.1,8.34%
부산어린이집체험,20,10,10,중간,0.0,0.0%
방어배달,20,10,10,중간,0.5,2.71%
5월제철요리,20,10,10,높음,0.0,0.0%
홍대대하구이,20,10,10,낮음,0.0,0.0%
참치집창업,20,10,10,높음,1.0,6.67%
